date,geography,geography code,Highest level of qualification:  All usual residents aged 16 years and over,Highest level of qualification:  No qualifications,Highest level of qualification:  Level 1 and entry level qualifications,Highest level of qualification:  Level 2 qualifications, Highest level of qualification:  Apprenticeship,Highest level of qualification:  Level 3 qualifications,Highest level of qualification:  Level 4 qualifications and above,Highest level of qualification: Other qualifications
2021,Leeds 011A,E01011264,1104,260,125,150,99,195,251,24
2021,Leeds 009A,E01011265,1603,199,117,211,86,260,690,40
2021,Leeds 008A,E01011266,2107,144,134,224,73,356,1145,31
2021,Leeds 009B,E01011267,1362,248,156,190,72,231,428,37
2021,Leeds 010A,E01011268,1100,261,153,184,85,195,194,28
2021,Leeds 011B,E01011269,1323,302,143,170,102,221,354,31
2021,Leeds 008B,E01011270,1403,131,99,159,73,211,704,26
2021,Leeds 009C,E01011271,1711,197,108,235,107,282,745,37
2021,Leeds 009D,E01011272,1176,129,110,158,76,227,453,23
2021,Leeds 010B,E01011273,1244,173,137,162,80,224,450,18
2021,Leeds 010C,E01011274,1106,294,138,163,62,190,240,19
2021,Leeds 010D,E01011275,1119,179,135,154,71,191,346,43
2021,Leeds 011C,E01011276,1448,190,105,209,84,267,575,18
2021,Leeds 014A,E01011277,1269,135,120,190,77,259,481,7
2021,Leeds 014B,E01011278,1357,166,90,173,82,236,585,25
2021,Leeds 008C,E01011279,1089,161,103,131,83,164,411,36
2021,Leeds 008D,E01011280,1652,164,137,209,98,290,730,24
2021,Leeds 059A,E01011281,1718,354,138,203,80,223,679,41
2021,Leeds 059B,E01011282,1093,246,157,160,70,207,234,19
2021,Leeds 059C,E01011283,1124,312,142,198,62,148,242,20
2021,Leeds 071A,E01011284,1755,293,186,171,89,295,665,56
2021,Leeds 059D,E01011286,1054,190,107,152,53,189,334,29
2021,Leeds 067B,E01011287,1198,246,143,171,102,205,299,32
2021,Leeds 071B,E01011292,1526,504,161,183,89,160,358,71
2021,Leeds 071C,E01011293,1484,455,190,181,112,200,305,41
2021,Leeds 071D,E01011294,1452,409,180,253,90,181,301,38
2021,Leeds 059E,E01011295,1299,290,190,176,68,226,320,29
2021,Leeds 030A,E01011296,1404,242,145,174,111,219,463,50
2021,Leeds 030B,E01011297,1402,197,110,191,66,243,580,15
2021,Leeds 088A,E01011298,1251,285,145,167,67,234,335,18
2021,Leeds 088B,E01011299,2175,345,222,362,132,468,606,40
2021,Leeds 089A,E01011300,1165,259,115,204,89,182,294,22
2021,Leeds 089B,E01011301,1059,167,108,158,80,222,292,32
2021,Leeds 088C,E01011302,1533,312,158,167,162,273,425,36
2021,Leeds 088D,E01011303,955,232,90,130,68,194,224,17
2021,Leeds 089C,E01011304,1263,297,160,201,90,241,247,27
2021,Leeds 089D,E01011305,1231,197,162,169,112,238,324,29
2021,Leeds 089E,E01011306,1090,179,118,164,94,227,287,21
2021,Leeds 103A,E01011307,1314,331,179,214,80,213,264,33
2021,Leeds 103B,E01011308,1209,254,128,205,94,211,276,41
2021,Leeds 030C,E01011309,1251,231,112,146,72,182,477,31
2021,Leeds 030D,E01011310,1341,183,88,140,72,193,633,32
2021,Leeds 022A,E01011311,1011,88,68,119,47,114,548,27
2021,Leeds 086A,E01011312,1419,506,217,168,54,162,264,48
2021,Leeds 091A,E01011313,1271,304,167,203,70,167,316,44
2021,Leeds 091B,E01011314,1238,290,161,170,71,182,318,46
2021,Leeds 090A,E01011315,1262,292,148,191,91,210,281,49
2021,Leeds 086B,E01011316,1445,428,231,178,77,146,325,60
2021,Leeds 090B,E01011317,1387,431,199,193,92,165,269,38
2021,Leeds 090C,E01011318,1119,318,163,187,51,141,218,41
2021,Leeds 091C,E01011319,1216,301,161,184,66,169,288,47
2021,Leeds 091D,E01011320,1402,329,165,191,108,214,336,59
2021,Leeds 090D,E01011321,1242,376,152,175,76,170,235,58
2021,Leeds 091E,E01011322,1278,316,164,187,99,188,284,40
2021,Leeds 051A,E01011323,1078,290,116,140,94,185,232,21
2021,Leeds 046A,E01011324,1434,285,152,166,36,520,245,30
2021,Leeds 046B,E01011325,1327,259,136,182,58,204,461,27
2021,Leeds 046C,E01011326,1127,289,142,177,66,169,255,29
2021,Leeds 052A,E01011327,1101,248,127,144,67,173,317,25
2021,Leeds 052B,E01011328,1257,295,138,162,83,209,334,36
2021,Leeds 051B,E01011329,1306,204,150,181,104,236,401,30
2021,Leeds 051C,E01011330,1103,226,100,151,82,200,318,26
2021,Leeds 058A,E01011331,1120,198,122,154,63,213,355,15
2021,Leeds 046D,E01011332,1198,329,152,148,67,201,269,32
2021,Leeds 051D,E01011333,1099,291,141,167,74,168,233,25
2021,Leeds 058B,E01011334,1187,222,148,157,70,226,353,11
2021,Leeds 052C,E01011335,1417,297,145,187,96,268,396,28
2021,Leeds 058C,E01011336,1326,442,157,184,95,189,230,29
2021,Leeds 058D,E01011337,1164,350,164,200,57,164,206,23
2021,Leeds 064A,E01011338,1480,438,174,206,93,125,392,52
2021,Leeds 060A,E01011339,1601,514,148,201,84,204,392,58
2021,Leeds 060B,E01011340,1314,414,139,180,65,157,316,43
2021,Leeds 061A,E01011341,1670,330,174,213,112,328,465,48
2021,Leeds 060C,E01011342,1307,373,167,212,80,177,260,38
2021,Leeds 061B,E01011343,1672,363,198,208,100,281,485,37
2021,Leeds 065A,E01011344,1452,479,166,196,90,180,275,66
2021,Leeds 061C,E01011345,1179,363,138,154,66,172,264,22
2021,Leeds 060D,E01011346,1453,392,140,194,71,229,365,62
2021,Leeds 065B,E01011347,1425,383,169,184,75,233,301,80
2021,Leeds 065C,E01011348,1275,389,163,166,70,141,298,48
2021,Leeds 065D,E01011349,1427,526,180,173,103,131,271,43
2021,Leeds 034A,E01011350,1325,147,66,112,48,183,750,19
2021,Leeds 034B,E01011351,1529,129,67,116,49,154,1001,13
2021,Leeds 034C,E01011352,1678,182,67,123,37,176,1071,22
2021,Leeds 034D,E01011353,1625,130,80,108,38,203,1039,27
2021,Leeds 038A,E01011354,1138,281,122,178,46,178,314,19
2021,Leeds 038B,E01011355,1174,272,119,145,60,166,387,25
2021,Leeds 042A,E01011356,1741,219,97,143,42,247,958,35
2021,Leeds 038C,E01011357,1582,354,220,187,61,245,459,56
2021,Leeds 042B,E01011358,1236,297,116,153,56,165,418,31
2021,Leeds 042C,E01011359,1566,272,139,121,39,236,730,29
2021,Leeds 042D,E01011360,1690,505,196,216,42,280,378,73
2021,Leeds 042E,E01011361,2189,545,241,300,102,370,571,60
2021,Leeds 081A,E01011362,1585,398,210,230,89,189,416,53
2021,Leeds 071E,E01011363,1505,427,225,180,73,161,384,55
2021,Leeds 085A,E01011364,1586,386,177,209,67,209,489,49
2021,Leeds 082A,E01011366,1346,364,149,171,79,168,356,59
2021,Leeds 082C,E01011368,1232,319,160,155,75,176,286,61
2021,Leeds 090E,E01011369,1302,354,153,174,94,188,291,48
2021,Leeds 082D,E01011370,1341,394,179,151,70,174,316,57
2021,Leeds 085B,E01011371,1354,459,174,186,97,124,256,58
2021,Leeds 086C,E01011372,1238,405,141,141,68,169,268,46
2021,Leeds 085C,E01011373,1109,317,138,150,59,147,252,46
2021,Leeds 085D,E01011374,992,232,147,141,85,133,212,42
2021,Leeds 086D,E01011375,1479,472,205,181,85,170,306,60
2021,Leeds 013A,E01011376,1349,142,121,164,78,208,603,33
2021,Leeds 013B,E01011377,1169,158,112,151,74,179,468,27
2021,Leeds 013C,E01011378,1144,267,133,171,63,197,283,30
2021,Leeds 017A,E01011379,1260,264,131,188,68,193,374,42
2021,Leeds 016A,E01011380,1290,137,64,132,61,135,732,29
2021,Leeds 016B,E01011381,1234,154,99,161,36,162,592,30
2021,Leeds 013D,E01011382,1327,142,117,163,91,209,570,35
2021,Leeds 019A,E01011383,1365,202,109,151,73,166,627,37
2021,Leeds 017B,E01011384,1215,188,110,141,74,196,483,23
2021,Leeds 016C,E01011385,1120,150,57,121,34,139,590,29
2021,Leeds 016D,E01011386,1450,123,74,134,32,171,861,55
2021,Leeds 019B,E01011388,1326,213,128,126,57,214,546,42
2021,Leeds 087A,E01011390,1134,268,152,164,86,192,240,32
2021,Leeds 087B,E01011391,1328,372,131,196,120,201,268,40
2021,Leeds 087C,E01011392,1544,314,131,231,92,291,447,38
2021,Leeds 103C,E01011393,1754,287,133,256,90,312,637,39
2021,Leeds 103D,E01011394,968,186,103,154,67,162,273,23
2021,Leeds 103E,E01011395,939,156,81,161,42,165,308,26
2021,Leeds 074A,E01011396,1582,180,154,235,98,364,522,29
2021,Leeds 077A,E01011397,1214,178,134,195,74,229,376,28
2021,Leeds 077B,E01011398,977,109,102,151,74,189,335,17
2021,Leeds 074B,E01011399,1234,184,128,198,87,241,356,40
2021,Leeds 074C,E01011400,1166,228,134,159,87,197,327,34
2021,Leeds 077C,E01011401,1414,173,142,191,96,269,511,32
2021,Leeds 087D,E01011402,1735,391,165,221,134,296,475,53
2021,Leeds 074D,E01011403,1349,295,138,161,89,206,412,48
2021,Leeds 077D,E01011404,1113,174,112,128,86,251,339,23
2021,Leeds 077E,E01011405,1263,252,132,148,108,176,388,59
2021,Leeds 057A,E01011406,1106,180,97,168,74,201,362,24
2021,Leeds 057B,E01011407,1193,214,145,179,109,223,289,34
2021,Leeds 057C,E01011408,1333,346,146,136,108,219,336,42
2021,Leeds 057D,E01011409,1228,196,118,190,84,196,415,29
2021,Leeds 057E,E01011410,1412,273,168,146,121,251,424,29
2021,Leeds 073A,E01011411,1437,178,119,195,100,282,541,22
2021,Leeds 057F,E01011412,1499,279,130,191,115,268,489,27
2021,Leeds 069A,E01011413,1226,154,115,171,91,258,401,36
2021,Leeds 073B,E01011414,1261,185,116,168,103,220,436,33
2021,Leeds 069B,E01011415,1369,231,164,169,105,249,424,27
2021,Leeds 069C,E01011416,1215,225,120,156,98,243,347,26
2021,Leeds 069D,E01011417,1337,353,145,180,126,199,299,35
2021,Leeds 073C,E01011418,1225,156,124,177,83,217,435,33
2021,Leeds 073D,E01011419,971,140,80,133,74,173,355,16
2021,Leeds 069E,E01011420,1205,262,132,151,109,173,342,36
2021,Leeds 040A,E01011421,1180,314,130,161,56,157,320,42
2021,Leeds 048A,E01011422,1257,352,133,131,57,195,329,60
2021,Leeds 047A,E01011423,1276,345,167,172,54,186,318,34
2021,Leeds 047B,E01011424,1352,360,177,194,51,174,334,62
2021,Leeds 040B,E01011425,1212,223,119,161,70,192,409,38
2021,Leeds 048B,E01011426,1239,364,170,186,32,163,283,41
2021,Leeds 047C,E01011427,1385,477,177,215,56,150,263,47
2021,Leeds 048C,E01011428,1541,572,171,176,73,185,306,58
2021,Leeds 048D,E01011429,1550,484,211,203,66,200,318,68
2021,Leeds 053A,E01011430,1165,450,134,155,40,117,219,50
2021,Leeds 047D,E01011431,1591,473,197,222,71,198,380,50
2021,Leeds 053B,E01011432,1226,498,153,116,50,127,227,55
2021,Leeds 053C,E01011433,1317,460,163,165,61,145,225,98
2021,Leeds 053D,E01011434,1191,427,146,145,60,121,236,56
2021,Leeds 044A,E01011435,1792,45,31,75,13,941,669,18
2021,Leeds 044D,E01011440,1617,66,47,92,19,703,678,12
2021,Leeds 044E,E01011441,1841,114,53,87,26,751,791,19
2021,Leeds 110A,E01011442,1807,44,39,74,6,1157,482,5
2021,Leeds 110B,E01011443,1797,76,31,78,16,897,676,23
2021,Leeds 110C,E01011444,1929,57,27,68,9,1243,505,20
2021,Leeds 054A,E01011445,1744,39,17,48,9,1198,421,12
2021,Leeds 054B,E01011446,1654,88,34,64,18,1026,410,14
2021,Leeds 054C,E01011447,1363,73,16,54,4,813,381,22
2021,Leeds 054D,E01011448,1564,105,51,67,18,977,325,21
2021,Leeds 054E,E01011449,1356,97,51,71,19,643,454,21
2021,Leeds 038D,E01011450,1058,237,95,105,37,103,467,14
2021,Leeds 110D,E01011451,1453,62,27,55,19,680,587,23
2021,Leeds 027A,E01011452,1302,117,84,139,61,188,698,15
2021,Leeds 028A,E01011453,1306,172,80,113,65,168,680,28
2021,Leeds 027B,E01011454,1268,87,76,112,55,162,761,15
2021,Leeds 021A,E01011455,1100,103,92,102,29,244,513,17
2021,Leeds 021B,E01011456,1688,114,105,173,86,509,673,28
2021,Leeds 027C,E01011457,1296,143,85,160,55,202,631,20
2021,Leeds 027D,E01011458,2008,139,113,219,77,271,1164,25
2021,Leeds 021C,E01011459,1412,192,92,136,92,196,681,23
2021,Leeds 028B,E01011460,1192,157,101,139,59,159,553,24
2021,Leeds 021D,E01011461,1224,134,76,154,61,152,615,32
2021,Leeds 028C,E01011462,1357,258,133,133,71,190,520,52
2021,Leeds 028D,E01011463,1340,270,150,186,87,188,424,35
2021,Leeds 028E,E01011464,1524,131,81,155,84,252,798,23
2021,Leeds 027E,E01011465,1395,218,97,142,69,151,685,33
2021,Leeds 094A,E01011466,1236,400,182,161,86,163,221,23
2021,Leeds 112A,E01011467,1606,405,105,134,70,202,641,49
2021,Leeds 112B,E01011468,1580,449,181,187,88,186,459,30
2021,Leeds 094B,E01011469,1194,313,144,168,105,180,247,37
2021,Leeds 112C,E01011470,1049,317,135,123,89,158,196,31
2021,Leeds 092A,E01011471,1187,366,164,173,66,156,222,40
2021,Leeds 092B,E01011472,1293,448,169,179,83,132,241,41
2021,Leeds 092C,E01011473,1113,314,146,174,53,156,230,40
2021,Leeds 092D,E01011474,1191,394,140,196,53,157,224,27
2021,Leeds 094C,E01011475,1210,406,146,169,74,163,204,48
2021,Leeds 094D,E01011476,897,270,112,136,61,122,171,25
2021,Leeds 045A,E01011477,1675,278,126,147,62,247,773,42
2021,Leeds 056A,E01011478,1608,151,83,130,42,404,787,11
2021,Leeds 056B,E01011479,1479,64,22,74,11,512,787,9
2021,Leeds 045B,E01011480,1416,224,97,135,66,246,615,33
2021,Leeds 056C,E01011481,1608,171,79,120,30,537,631,40
2021,Leeds 056D,E01011482,1593,174,52,131,47,292,871,26
2021,Leeds 056E,E01011483,1437,293,96,106,54,435,427,26
2021,Leeds 033A,E01011484,1218,368,145,160,60,166,293,26
2021,Leeds 033B,E01011485,1285,270,137,131,69,181,468,29
2021,Leeds 045C,E01011488,1278,131,67,132,37,209,681,21
2021,Leeds 045D,E01011489,1450,257,116,109,55,211,683,19
2021,Leeds 101A,E01011491,1063,318,158,197,43,143,181,23
2021,Leeds 101B,E01011492,1254,386,146,202,90,145,249,36
2021,Leeds 101C,E01011493,1194,335,165,184,82,154,218,56
