geography,geography code,Residence type: Total; measures: Value,Residence type: Lives in a household; measures: Value,Residence type: Lives in a communal establishment; measures: Value
Leeds 001A,E01011698,1462,1460,2
Leeds 001B,E01011699,1289,1289,0
Leeds 001C,E01011701,1367,1367,0
Leeds 001D,E01011702,1648,1648,0
Leeds 001E,E01011703,1224,1224,0
Leeds 002A,E01011697,2285,1569,716
Leeds 002B,E01011700,1482,1311,171
Leeds 002C,E01011704,2229,2151,78
Leeds 002D,E01011705,1369,1366,3
Leeds 003A,E01011581,1660,1660,0
Leeds 003B,E01011582,1613,1613,0
Leeds 003C,E01011583,1574,1574,0
Leeds 003D,E01011584,1682,1682,0
Leeds 004A,E01011569,1731,1730,1
Leeds 004B,E01011571,1609,1586,23
Leeds 004C,E01011572,1776,1776,0
Leeds 004D,E01011573,1311,1311,0
Leeds 004E,E01011574,1401,1354,47
Leeds 005A,E01011707,1295,1295,0
Leeds 005B,E01011709,2047,2022,25
Leeds 005C,E01011710,1414,1414,0
Leeds 005D,E01011711,1417,1417,0
Leeds 005E,E01011712,1448,1448,0
Leeds 006A,E01011561,1186,1186,0
Leeds 006B,E01011696,1549,1549,0
Leeds 006C,E01011706,1534,1534,0
Leeds 006D,E01011708,1471,1471,0
Leeds 006E,E01011713,1785,1785,0
Leeds 007A,E01011570,2305,2305,0
Leeds 007C,E01011576,1463,1452,11
Leeds 007E,E01032503,1447,1446,1
Leeds 007F,E01032504,1781,1781,0
Leeds 008A,E01011266,2613,2613,0
Leeds 008B,E01011270,1720,1720,0
Leeds 008C,E01011279,1319,1283,36
Leeds 008D,E01011280,2073,2073,0
Leeds 009A,E01011265,1955,1915,40
Leeds 009B,E01011267,1699,1676,23
Leeds 009C,E01011271,2172,2172,0
Leeds 009D,E01011272,1455,1453,2
Leeds 010A,E01011268,1395,1395,0
Leeds 010B,E01011273,1483,1483,0
Leeds 010C,E01011274,1360,1360,0
Leeds 010D,E01011275,1411,1411,0
Leeds 011A,E01011264,1284,1284,0
Leeds 011B,E01011269,1569,1568,1
Leeds 011C,E01011276,1736,1736,0
Leeds 011D,E01011578,1273,1273,0
Leeds 012A,E01011554,1445,1445,0
Leeds 012B,E01011562,1567,1564,3
Leeds 012C,E01011563,1392,1392,0
Leeds 012D,E01011564,1558,1558,0
Leeds 012E,E01011567,1472,1472,0
Leeds 013A,E01011376,1662,1662,0
Leeds 013B,E01011377,1389,1389,0
Leeds 013C,E01011378,1418,1418,0
Leeds 013D,E01011382,1609,1609,0
Leeds 014A,E01011277,1605,1605,0
Leeds 014B,E01011278,1622,1622,0
Leeds 014C,E01011579,1340,1340,0
Leeds 014D,E01011580,1374,1369,5
Leeds 015A,E01011556,1650,1650,0
Leeds 015B,E01011557,1421,1421,0
Leeds 015C,E01011565,1482,1482,0
Leeds 015D,E01011566,1337,1337,0
Leeds 015E,E01011568,1915,1914,1
Leeds 016A,E01011380,1550,1550,0
Leeds 016B,E01011381,1475,1402,73
Leeds 016C,E01011385,1338,1288,50
Leeds 016D,E01011386,1815,1815,0
Leeds 017A,E01011379,1611,1611,0
Leeds 017B,E01011384,1518,1518,0
Leeds 017E,E01032501,1149,1149,0
Leeds 017F,E01032502,1875,1875,0
Leeds 018A,E01011555,1383,1383,0
Leeds 018B,E01011558,1778,1776,2
Leeds 018C,E01011559,1474,1431,43
Leeds 018D,E01011560,1937,1936,1
Leeds 019A,E01011383,1673,1673,0
Leeds 019B,E01011388,1578,1578,0
Leeds 019C,E01011684,1557,1557,0
Leeds 019D,E01011695,1710,1657,53
Leeds 020A,E01011650,1522,1522,0
Leeds 020B,E01011651,1490,1490,0
Leeds 020C,E01011653,1376,1374,2
Leeds 020D,E01011655,1478,1453,25
Leeds 021A,E01011455,1371,1221,150
Leeds 021B,E01011456,2048,1666,382
Leeds 021C,E01011459,1679,1661,18
Leeds 021D,E01011461,1564,1564,0
Leeds 022A,E01011311,1265,1265,0
Leeds 022B,E01011649,1581,1581,0
Leeds 022C,E01011715,1354,1354,0
Leeds 022D,E01011719,1430,1411,19
Leeds 023A,E01011509,1436,1393,43
Leeds 023B,E01011511,1414,1414,0
Leeds 023C,E01011512,1722,1722,0
Leeds 023D,E01011515,1495,1495,0
Leeds 023E,E01011516,1744,1744,0
Leeds 024A,E01011508,1433,1433,0
Leeds 024B,E01011517,1716,1716,0
Leeds 024C,E01011652,1398,1380,18
Leeds 024D,E01011654,1473,1473,0
Leeds 025A,E01011505,1702,1676,26
Leeds 025B,E01011506,1539,1537,2
Leeds 025C,E01011507,1656,1656,0
Leeds 025D,E01011510,1528,1526,2
Leeds 025E,E01011514,1783,1783,0
Leeds 027A,E01011452,1651,1651,0
Leeds 027B,E01011454,1607,1607,0
Leeds 027C,E01011457,1630,1520,110
Leeds 027D,E01011458,2677,2677,0
Leeds 027E,E01011465,1750,1750,0
Leeds 028A,E01011453,1566,1539,27
Leeds 028B,E01011460,1538,1508,30
Leeds 028C,E01011462,1728,1728,0
Leeds 028D,E01011463,1692,1692,0
Leeds 028E,E01011464,1810,1810,0
Leeds 029A,E01011714,1947,1947,0
Leeds 029B,E01011716,1588,1588,0
Leeds 029C,E01011717,1621,1621,0
Leeds 029D,E01011718,1972,1944,28
Leeds 029E,E01011720,1510,1507,3
Leeds 030A,E01011296,1625,1625,0
Leeds 030B,E01011297,1724,1722,2
Leeds 030C,E01011309,1505,1505,0
Leeds 030D,E01011310,1627,1627,0
Leeds 031A,E01011513,2238,2211,27
Leeds 031B,E01011688,1518,1518,0
Leeds 031C,E01011689,1611,1611,0
Leeds 031D,E01011691,1500,1500,0
Leeds 032A,E01011504,1564,1538,26
Leeds 032B,E01011641,1612,1612,0
Leeds 032C,E01011642,1383,1383,0
Leeds 032D,E01011645,1510,1489,21
Leeds 033A,E01011484,1599,1597,2
Leeds 033B,E01011485,1628,1609,19
Leeds 033E,E01011686,1541,1541,0
Leeds 033F,E01032493,1366,1366,0
Leeds 033G,E01032494,1911,1873,38
Leeds 034A,E01011350,1538,1538,0
Leeds 034B,E01011351,1714,1708,6
Leeds 034C,E01011352,1849,1800,49
Leeds 034D,E01011353,1934,1934,0
Leeds 035A,E01011656,1525,1525,0
Leeds 035B,E01011657,1281,1281,0
Leeds 035C,E01011659,1461,1461,0
Leeds 035D,E01011661,1707,1579,128
Leeds 037A,E01011643,1520,1446,74
Leeds 037B,E01011644,1339,1305,34
Leeds 037C,E01011646,1801,1786,15
Leeds 037D,E01011647,1880,1880,0
Leeds 037E,E01011648,1859,1859,0
Leeds 038A,E01011354,1574,1574,0
Leeds 038B,E01011355,1490,1489,1
Leeds 038C,E01011357,2056,2056,0
Leeds 038D,E01011450,1301,1246,55
Leeds 039A,E01011588,1777,1750,27
Leeds 039B,E01011589,1597,1597,0
Leeds 039C,E01011590,1699,1666,33
Leeds 039D,E01011592,1612,1612,0
Leeds 039E,E01011593,1966,1966,0
Leeds 040A,E01011421,1526,1526,0
Leeds 040B,E01011425,1552,1552,0
Leeds 040C,E01011658,1708,1705,3
Leeds 040D,E01011660,1826,1805,21
Leeds 040E,E01011662,1366,1366,0
Leeds 041A,E01011721,1565,1563,2
Leeds 041B,E01011722,2115,2107,8
Leeds 041C,E01011723,1716,1716,0
Leeds 041D,E01011724,1869,1869,0
Leeds 042A,E01011356,2017,1915,102
Leeds 042B,E01011358,1551,1549,2
Leeds 042C,E01011359,1895,1865,30
Leeds 042D,E01011360,2232,2232,0
Leeds 042E,E01011361,2863,2863,0
Leeds 044A,E01011435,1825,1779,46
Leeds 044D,E01011440,1685,1685,0
Leeds 044E,E01011441,1959,1924,35
Leeds 044G,E01035040,1738,1738,0
Leeds 044H,E01035041,1302,1302,0
Leeds 045A,E01011477,2024,1862,162
Leeds 045B,E01011480,1639,1617,22
Leeds 045C,E01011488,1464,1464,0
Leeds 045D,E01011489,1765,1765,0
Leeds 046A,E01011324,1837,1366,471
Leeds 046B,E01011325,1644,1643,1
Leeds 046C,E01011326,1486,1482,4
Leeds 046D,E01011332,1620,1620,0
Leeds 047A,E01011423,1735,1735,0
Leeds 047B,E01011424,1938,1938,0
Leeds 047C,E01011427,2045,2045,0
Leeds 047D,E01011431,2097,2069,28
Leeds 048A,E01011422,1616,1597,19
Leeds 048B,E01011426,1698,1698,0
Leeds 048C,E01011428,2138,2138,0
Leeds 048D,E01011429,2059,2050,9
Leeds 050A,E01011663,1701,1700,1
Leeds 050B,E01011664,1323,1323,0
Leeds 050C,E01011665,1387,1385,2
Leeds 050D,E01011667,1584,1584,0
Leeds 051A,E01011323,1297,1297,0
Leeds 051B,E01011329,1493,1493,0
Leeds 051C,E01011330,1345,1339,6
Leeds 051D,E01011333,1369,1353,16
Leeds 052A,E01011327,1348,1348,0
Leeds 052B,E01011328,1591,1591,0
Leeds 052C,E01011335,1710,1710,0
Leeds 052D,E01011591,1637,1637,0
Leeds 053A,E01011430,1732,1732,0
Leeds 053B,E01011432,1736,1678,58
Leeds 053C,E01011433,1927,1927,0
Leeds 053D,E01011434,1805,1805,0
Leeds 054A,E01011445,1790,1780,10
Leeds 054B,E01011446,1755,1754,1
Leeds 054C,E01011447,1428,1357,71
Leeds 054D,E01011448,1679,1641,38
Leeds 054E,E01011449,1480,1480,0
Leeds 055A,E01011670,2614,1835,779
Leeds 055B,E01011671,1687,1676,11
Leeds 055F,E01033002,2179,2113,66
Leeds 055G,E01033003,2293,2293,0
Leeds 055I,E01035042,2288,941,1347
Leeds 055J,E01035043,1416,1101,315
Leeds 056A,E01011478,1769,1769,0
Leeds 056B,E01011479,1521,1521,0
Leeds 056C,E01011481,1812,1693,119
Leeds 056D,E01011482,1737,1737,0
Leeds 056E,E01011483,1625,1623,2
Leeds 057A,E01011406,1315,1315,0
Leeds 057B,E01011407,1424,1424,0
Leeds 057C,E01011408,1493,1493,0
Leeds 057D,E01011409,1442,1428,14
Leeds 057E,E01011410,1658,1658,0
Leeds 057F,E01011412,1816,1816,0
Leeds 058A,E01011331,1340,1340,0
Leeds 058B,E01011334,1397,1396,1
Leeds 058C,E01011336,1551,1551,0
Leeds 058D,E01011337,1734,1734,0
Leeds 059A,E01011281,2182,2127,55
Leeds 059B,E01011282,1388,1388,0
Leeds 059C,E01011283,1575,1575,0
Leeds 059D,E01011286,1295,1295,0
Leeds 059E,E01011295,1708,1708,0
Leeds 060A,E01011339,2115,2068,47
Leeds 060B,E01011340,1816,1759,57
Leeds 060C,E01011342,1878,1878,0
Leeds 060D,E01011346,1892,1892,0
Leeds 061A,E01011341,2172,2172,0
Leeds 061B,E01011343,1980,1961,19
Leeds 061C,E01011345,1498,1498,0
Leeds 061D,E01011666,1424,1424,0
Leeds 062A,E01011585,1401,1401,0
Leeds 062B,E01011587,1748,1745,3
Leeds 062C,E01011594,1543,1543,0
Leeds 062D,E01011596,1648,1648,0
Leeds 062E,E01011598,1581,1533,48
Leeds 063B,E01011678,4342,1761,2581
Leeds 063D,E01011681,1693,1541,152
Leeds 063F,E01035044,2643,1312,1331
Leeds 063G,E01035045,1308,1183,125
Leeds 064A,E01011338,2029,1977,52
Leeds 064B,E01011673,1862,1862,0
Leeds 064D,E01011677,1624,1619,5
Leeds 064E,E01033031,1608,1607,1
Leeds 064F,E01033035,1817,1817,0
Leeds 065A,E01011344,2057,2057,0
Leeds 065B,E01011347,1975,1975,0
Leeds 065C,E01011348,1796,1789,7
Leeds 065D,E01011349,1819,1819,0
Leeds 066A,E01011586,1850,1850,0
Leeds 066B,E01011595,2169,2169,0
Leeds 066C,E01011597,1707,1651,56
Leeds 066D,E01011599,1664,1664,0
Leeds 067B,E01011287,1461,1461,0
Leeds 067G,E01032499,1707,1681,26
Leeds 067H,E01032500,1386,1339,47
Leeds 067I,E01032606,2109,2109,0
Leeds 067J,E01032607,1273,1236,37
Leeds 067K,E01032608,1116,1092,24
Leeds 068A,E01011608,1379,1379,0
Leeds 068B,E01011609,1431,1431,0
Leeds 068C,E01011610,1530,1522,8
Leeds 068D,E01011611,1487,1487,0
Leeds 068E,E01011614,1860,1860,0
Leeds 069A,E01011413,1455,1455,0
Leeds 069B,E01011415,1639,1639,0
Leeds 069C,E01011416,1485,1485,0
Leeds 069D,E01011417,1528,1528,0
Leeds 069E,E01011420,1359,1359,0
Leeds 070A,E01011615,1581,1581,0
Leeds 070B,E01011617,1641,1641,0
Leeds 070C,E01011618,1660,1659,1
Leeds 070D,E01011621,1567,1567,0
Leeds 071A,E01011284,2216,2215,1
Leeds 071B,E01011292,1956,1956,0
Leeds 071C,E01011293,1963,1961,2
Leeds 071D,E01011294,1721,1111,610
Leeds 071E,E01011363,1961,1961,0
Leeds 072A,E01011616,1645,1645,0
Leeds 072B,E01011620,1383,1383,0
Leeds 072C,E01011622,1742,1742,0
Leeds 072D,E01011624,1858,1858,0
Leeds 073A,E01011411,1714,1714,0
Leeds 073B,E01011414,1500,1498,2
Leeds 073C,E01011418,1457,1394,63
Leeds 073D,E01011419,1109,1109,0
Leeds 074A,E01011396,1888,1888,0
Leeds 074B,E01011399,1502,1474,28
Leeds 074C,E01011400,1394,1394,0
Leeds 074D,E01011403,1515,1370,145
Leeds 075B,E01011623,1701,1701,0
Leeds 075C,E01011625,1724,1722,2
Leeds 075D,E01011626,2399,2399,0
Leeds 075E,E01033021,2067,2015,52
Leeds 075F,E01033033,1617,1158,459
Leeds 075G,E01033034,1480,1480,0
Leeds 076A,E01011602,1975,1895,80
Leeds 076B,E01011603,1592,1572,20
Leeds 076C,E01011605,1758,1758,0
Leeds 076D,E01011606,2048,2048,0
Leeds 076E,E01011613,1795,1795,0
Leeds 077A,E01011397,1501,1501,0
Leeds 077B,E01011398,1141,1141,0
Leeds 077C,E01011401,1773,1773,0
Leeds 077D,E01011404,1377,1377,0
Leeds 077E,E01011405,1474,1465,9
Leeds 078A,E01011725,1514,1514,0
Leeds 078B,E01011729,1700,1628,72
Leeds 078C,E01011730,1564,1563,1
Leeds 078D,E01011735,1693,1693,0
Leeds 079A,E01011600,1516,1478,38
Leeds 079B,E01011601,1622,1622,0
Leeds 079C,E01011604,1346,1346,0
Leeds 079D,E01011607,1658,1658,0
Leeds 079E,E01011612,1391,1337,54
Leeds 080A,E01011726,1561,1527,34
Leeds 080B,E01011727,1549,1549,0
Leeds 080C,E01011728,1384,1384,0
Leeds 080D,E01011739,1602,1600,2
Leeds 081A,E01011362,1935,1927,8
Leeds 081B,E01011731,1428,1428,0
Leeds 081C,E01011732,1982,1926,56
Leeds 081D,E01011733,1574,1541,33
Leeds 082A,E01011366,1786,1786,0
Leeds 082C,E01011368,1664,1660,4
Leeds 082D,E01011370,1689,1608,81
Leeds 082E,E01033013,1431,1415,16
Leeds 082G,E01035046,1158,1158,0
Leeds 082H,E01035047,1331,1331,0
Leeds 083A,E01011734,2797,2797,0
Leeds 083B,E01011736,1402,1402,0
Leeds 083C,E01011737,1536,1536,0
Leeds 083D,E01011738,1497,1491,6
Leeds 085A,E01011364,2124,2124,0
Leeds 085B,E01011371,1812,1761,51
Leeds 085C,E01011373,1553,1544,9
Leeds 085D,E01011374,1251,1251,0
Leeds 086A,E01011312,2025,2023,2
Leeds 086B,E01011316,2014,2014,0
Leeds 086C,E01011372,1750,1750,0
Leeds 086D,E01011375,2087,2087,0
Leeds 087A,E01011390,1365,1363,2
Leeds 087B,E01011391,1558,1558,0
Leeds 087C,E01011392,1984,1984,0
Leeds 087D,E01011402,2053,1967,86
Leeds 088A,E01011298,1556,1556,0
Leeds 088B,E01011299,2838,2838,0
Leeds 088C,E01011302,1781,1740,41
Leeds 088D,E01011303,1146,1146,0
Leeds 089A,E01011300,1457,1457,0
Leeds 089B,E01011301,1241,1241,0
Leeds 089C,E01011304,1587,1587,0
Leeds 089D,E01011305,1492,1492,0
Leeds 089E,E01011306,1301,1301,0
Leeds 090A,E01011315,1613,1613,0
Leeds 090B,E01011317,1776,1774,2
Leeds 090C,E01011318,1552,1552,0
Leeds 090D,E01011321,1660,1660,0
Leeds 090E,E01011369,1589,1587,2
Leeds 091A,E01011313,1744,1744,0
Leeds 091B,E01011314,1573,1573,0
Leeds 091C,E01011319,1604,1603,1
Leeds 091D,E01011320,1790,1790,0
Leeds 091E,E01011322,1659,1659,0
Leeds 092A,E01011471,1577,1577,0
Leeds 092B,E01011472,1656,1614,42
Leeds 092C,E01011473,1540,1540,0
Leeds 092D,E01011474,1591,1591,0
Leeds 093A,E01011518,2294,2289,5
Leeds 093B,E01011524,1216,1205,11
Leeds 093C,E01011526,1267,1267,0
Leeds 093D,E01011531,1670,1619,51
Leeds 094A,E01011466,1537,1494,43
Leeds 094B,E01011469,1418,1418,0
Leeds 094C,E01011475,1610,1610,0
Leeds 094D,E01011476,1231,1231,0
Leeds 095A,E01011519,1515,1514,1
Leeds 095B,E01011522,1370,1370,0
Leeds 095C,E01011525,1551,1505,46
Leeds 095D,E01011528,1599,1593,6
Leeds 095E,E01011532,1602,1602,0
Leeds 096A,E01011520,1497,1497,0
Leeds 096B,E01011521,2172,2172,0
Leeds 096C,E01011523,1893,1822,71
Leeds 096D,E01011527,1741,1741,0
Leeds 096E,E01011529,1365,1365,0
Leeds 097B,E01011635,1834,1713,121
Leeds 097C,E01011637,1691,1690,1
Leeds 097D,E01011638,1400,1400,0
Leeds 097F,E01032487,1042,1042,0
Leeds 097G,E01032488,1808,1808,0
Leeds 098A,E01011627,1358,1358,0
Leeds 098B,E01011628,1228,1228,0
Leeds 098C,E01011629,1308,1308,0
Leeds 098D,E01011632,1347,1347,0
Leeds 098E,E01011633,1467,1451,16
Leeds 099C,E01011502,1387,1387,0
Leeds 099E,E01032497,1610,1610,0
Leeds 099F,E01032498,1661,1653,8
Leeds 099G,E01035048,1894,1894,0
Leeds 099H,E01035049,1487,1487,0
Leeds 100A,E01011496,1522,1498,24
Leeds 100B,E01011630,2019,1998,21
Leeds 100C,E01011634,1585,1585,0
Leeds 100D,E01011636,1886,1878,8
Leeds 100E,E01011639,1509,1509,0
Leeds 101A,E01011491,1451,1451,0
Leeds 101B,E01011492,1732,1703,29
Leeds 101C,E01011493,1612,1612,0
Leeds 101D,E01011494,1681,1681,0
Leeds 101E,E01011497,1729,1729,0
Leeds 102B,E01011540,2016,2016,0
Leeds 102F,E01032489,2113,2113,0
Leeds 102G,E01032490,1396,1396,0
Leeds 102H,E01032491,1195,1195,0
Leeds 102I,E01032492,2104,2080,24
Leeds 103A,E01011307,1600,1545,55
Leeds 103B,E01011308,1496,1496,0
Leeds 103C,E01011393,2202,2164,38
Leeds 103D,E01011394,1156,1133,23
Leeds 103E,E01011395,1198,1198,0
Leeds 104A,E01011533,1387,1387,0
Leeds 104B,E01011541,2036,2003,33
Leeds 104C,E01011545,1359,1359,0
Leeds 104D,E01011547,1992,1992,0
Leeds 105D,E01011500,1577,1529,48
Leeds 105F,E01032496,2200,2200,0
Leeds 105G,E01035050,1619,1619,0
Leeds 105H,E01035051,1607,1607,0
Leeds 105I,E01035052,1453,1413,40
Leeds 105J,E01035053,1733,1733,0
Leeds 106A,E01011530,1367,1367,0
Leeds 106B,E01011534,2358,2358,0
Leeds 106C,E01011546,1723,1707,16
Leeds 106D,E01011548,1507,1507,0
Leeds 106E,E01011550,1354,1354,0
Leeds 107A,E01011537,2046,2005,41
Leeds 107B,E01011538,1584,1584,0
Leeds 107C,E01011551,1754,1754,0
Leeds 107D,E01011552,1523,1523,0
Leeds 108A,E01011535,1714,1714,0
Leeds 108B,E01011536,1653,1653,0
Leeds 108C,E01011549,1428,1428,0
Leeds 108D,E01011553,1380,1380,0
Leeds 109A,E01011685,2215,1905,310
Leeds 109B,E01011687,1527,1506,21
Leeds 109C,E01011690,1362,1360,2
Leeds 109D,E01011692,1502,1497,5
Leeds 109E,E01011693,1513,1513,0
Leeds 109F,E01011694,1855,1855,0
Leeds 109G,E01032876,1874,1574,300
Leeds 110A,E01011442,1874,1873,1
Leeds 110B,E01011443,1881,1854,27
Leeds 110C,E01011444,1992,1967,25
Leeds 110D,E01011451,1553,984,569
Leeds 110E,E01011668,1705,1678,27
Leeds 110F,E01011669,1481,1325,156
Leeds 110G,E01032946,3146,1915,1231
Leeds 111A,E01033008,2148,802,1346
Leeds 111B,E01033010,3481,1072,2409
Leeds 111C,E01033011,1344,1160,184
Leeds 111D,E01033015,1510,1510,0
Leeds 111E,E01033016,1047,1047,0
Leeds 112A,E01011467,1992,1802,190
Leeds 112B,E01011468,2031,2031,0
Leeds 112C,E01011470,1294,1294,0
Leeds 112F,E01035054,2569,2183,386
